date,city,country,confirmed,deaths,recovered,lat,long
3/11/20,Unknown,Sri Lanka,2,0,1,7.8731,80.7718
3/11/20,Unknown,Sweden,500,1,1,63,16
3/11/20,Unknown,Switzerland,652,4,4,46.8182,8.2275
3/11/20,Lop Buri,Thailand,59,1,34,15.87,100.9925
3/11/20,Unknown,Togo,1,0,0,8.6195,0.8248
3/11/20,Hubei,China,67773,3046,49134,30.9756,112.2707
3/11/20,Khomeyni Shahr,Iran,9000,354,2959,32,53
3/11/20,France,France,2281,48,12,46.2276,2.2137
3/11/20,Unknown,Tunisia,7,0,0,33.8869,9.5375
3/11/20,Guangdong,China,1356,8,1282,23.3417,113.4244
3/11/20,Henan,China,1273,22,1249,33.882,113.614
3/11/20,Zhejiang,China,1215,1,1195,29.1832,120.0934
3/11/20,Hunan,China,1018,4,995,27.6104,111.7088
3/11/20,Anhui,China,990,6,984,31.8257,117.2264
3/11/20,Jiangxi,China,935,1,932,27.614,115.7221
3/11/20,Shandong,China,760,6,726,36.3427,118.1498
3/11/20,Diamond Princess,Cruise Ship,696,7,325,35.4437,139.638
3/11/20,Tokyo,Japan,639,15,118,36,138
3/11/20,Jiangsu,China,631,0,627,32.9711,119.455
3/11/20,Unknown,Turkey,1,0,0,38.9637,35.2433
3/11/20,Chongqing,China,576,6,554,30.0572,107.874
3/11/20,Sichuan,China,539,3,488,30.6171,102.7103
3/11/20,Heilongjiang,China,482,13,436,47.862,127.7615
3/11/20,UK,United Kingdom,456,8,18,55.3781,-3.436
3/11/20,Denmark,Denmark,442,0,1,56.2639,9.5018
3/11/20,Beijing,China,435,8,326,40.1824,116.4142
3/11/20,Washington,United States,366,29,1,47.4009,-121.4905
3/11/20,Shanghai,China,344,3,320,31.202,121.4491
3/11/20,Hebei,China,318,6,307,39.549,116.1306
3/11/20,Fujian,China,296,1,295,26.0789,117.9874
3/11/20,Guangxi,China,252,2,238,23.8298,108.7881
3/11/20,Shaanxi,China,245,1,232,35.1917,108.8701
3/11/20,New York,United States,220,0,0,42.1657,-74.9481
3/11/20,California,United States,177,3,2,36.1162,-119.6816
3/11/20,Yunnan,China,174,2,170,24.974,101.487
3/11/20,Hainan,China,168,6,159,19.1959,109.7453
3/11/20,Guizhou,China,146,2,133,26.8154,106.8748
3/11/20,Tianjin,China,136,3,131,39.3054,117.323
3/11/20,Shanxi,China,133,0,131,37.5777,112.2922
3/11/20,Gansu,China,127,2,88,37.8099,101.0583
3/11/20,Hong Kong,China,126,3,65,22.3,114.2
3/11/20,Liaoning,China,125,1,111,41.2956,122.6085
3/11/20,Massachusetts,United States,95,0,1,42.2302,-71.5301
3/11/20,Jilin,China,93,1,91,43.6661,126.1923
3/11/20,Prague,Czech Republic,91,0,0,49.8175,15.473
3/11/20,Xinjiang,China,76,3,73,41.1129,85.2401
3/11/20,Inner Mongolia,China,75,1,71,44.0935,113.9448
3/11/20,Ningxia,China,75,0,72,37.2692,106.1655
3/11/20,New South Wales,Australia,65,2,4,-33.8688,151.2093
3/11/20,Taiwan,Taiwan,48,1,17,23.7,121
3/11/20,Diamond Princess,United States,46,0,0,35.4437,139.638
3/11/20,Ontario,Canada,41,0,4,51.2538,-85.3232
3/11/20,British Columbia,Canada,39,1,4,53.7267,-127.6476
3/11/20,Colorado,United States,34,0,0,39.0598,-105.3111
3/11/20,Florida,United States,28,2,0,27.7663,-81.6868
3/11/20,Illinois,United States,25,0,2,40.3495,-88.9861
3/11/20,Georgia,United States,23,0,0,33.0406,-83.6431
3/11/20,New Jersey,United States,23,1,0,40.2989,-74.521
3/11/20,Victoria,Australia,21,0,7,-37.8136,144.9631
3/11/20,Grand Princess,United States,21,0,0,37.6489,-122.6655
3/11/20,Texas,United States,21,0,0,31.0545,-97.5635
3/11/20,Queensland,Australia,20,0,8,-28.0167,153.4
3/11/20,Alberta,Canada,19,0,0,53.9333,-116.5765
3/11/20,Oregon,United States,19,0,0,44.572,-122.0709
3/11/20,Qinghai,China,18,0,18,35.7452,95.9956
3/11/20,Pennsylvania,United States,16,0,0,40.5908,-77.2098
3/11/20,Iowa,United States,13,0,0,42.0115,-93.2105
3/11/20,Indiana,United States,11,0,0,39.8494,-86.2583
3/11/20,Macau,China,10,0,10,22.1667,113.55
3/11/20,District of Columbia,United States,10,0,0,38.8974,-77.0268
3/11/20,South Carolina,United States,10,0,0,33.8569,-80.945
3/11/20,South Australia,Australia,9,0,2,-34.9285,138.6007
3/11/20,Western Australia,Australia,9,1,0,-31.9505,115.8605
3/11/20,Arizona,United States,9,0,1,33.7298,-111.4312
3/11/20,Maryland,United States,9,0,0,39.0639,-76.8021
3/11/20,Tennessee,United States,9,0,0,35.7478,-86.6923
3/11/20,Virginia,United States,9,0,0,37.7693,-78.17
3/11/20,Quebec,Canada,8,0,0,52.9399,-73.5491
3/11/20,Kentucky,United States,8,0,0,37.6681,-84.6701
